Area,Year,TotIncome,NonConsCost,ConsumeCost,DominIncome,EndCost,Saving,EndIncome
1,103,1735594,325905,1090188,1409689,1090188,319501,1851434
2,103,1603311,265254,1034264,1338056,1034264,303793,1715613
3,103,1921756,343697,1187685,1578059,1187685,390374,2057394
4,103,1484973,279075,921815,1205897,921815,284082,1583101
5,103,1716141,291482,1066214,1424659,1066214,358445,1837595
6,103,1393943,227319,956963,1166623,956963,209660,1491326
7,103,1215375,194096,789078,1021278,789078,232201,1285675
8,103,1459090,264415,1013403,1194676,1013403,181273,1576944
9,103,1368716,225034,873927,1143682,873927,269754,1449726
10,103,1691717,354133,1124119,1337584,1124119,213465,1791269
11,103,1534828,256659,985091,1278169,985091,293079,1644069
12,103,1510503,288406,965839,1222098,965839,256259,1623803
